user_sn,review_count,avg_finish_rate,finish_rate_std,learning_duration,chinese_score,math_score,english_score,pause_count,checkpoint_count,rewind_count,cluster,PCA1,PCA2
2697,0,,,,80,52,86,0.0,0.0,0.0,0,-1.9706235690120883,-0.9657909924648845
4381,0,,,,70,52,57,0.0,0.0,0.0,0,-2.0851130243821787,0.08762706677625307
4561,14,71.85714285714286,4.258153136263201,0.0,77,56,100,5.0,0.0,0.0,0,-1.0018445166633245,-1.5172972761641967
6802,0,,,,93,60,49,0.0,0.0,0.0,0,-2.0535141920023237,-0.7948936979339505
6828,0,,,,83,52,89,0.0,0.0,0.0,0,-1.9565578989881138,-1.1421753418612794
8634,350,64.32571428571428,35.97176816323038,380.3,37,24,63,111.0,0.0,4.0,1,1.0148274587303985,2.226652438229676
11303,239,71.40167364016736,40.667303537597526,609.75,47,20,66,52.0,1.0,0.0,1,1.307702131466895,2.0095891740527954
11312,665,73.20601503759399,35.09369506968953,97.07,97,72,97,241.0,0.0,2.0,1,2.2884217140350747,-2.27509522476925
13328,349,74.65042979942693,32.24784375022428,545.32,70,44,94,65.0,0.0,9.0,1,1.3996340036412744,-0.3972912931267013
14314,0,,,,77,64,97,0.0,0.0,0.0,0,-1.8837811819674424,-1.5669229715041006
14503,67,51.0,41.30705420715363,63.5,53,20,89,15.0,0.0,3.0,1,-0.3786737730356771,0.9563459303420844
15995,156,77.46153846153847,34.57453558858388,502.06,80,60,94,31.0,0.0,5.0,1,0.8679748934409073,-1.4460706826883434
17422,32,100.0,0.0,0.0,87,60,97,7.0,0.0,0.0,1,-0.7286135118966971,-1.9891062432251916
20034,407,74.51105651105651,33.96121013315961,853.74,70,60,83,102.0,0.0,1.0,1,1.907827203780257,-0.6205437430192745
23061,0,,,,37,36,49,0.0,0.0,0.0,0,-2.2190091302169628,1.9947784382701497
23250,640,75.2890625,35.99325105051561,528.32,87,36,97,233.0,0.0,5.0,1,2.751353998067748,-0.5340410703670189
23415,0,,,,23,24,29,0.0,0.0,0.0,0,-2.357092185520994,3.3994342661683263
30835,0,,,,73,68,97,0.0,0.0,0.0,0,-1.8712714559106995,-1.5745836597551677
32737,181,59.07734806629834,44.83493907453278,0.0,80,88,100,44.0,2.0,6.0,1,1.4275997018181101,-2.3933243070401744
38371,14,39.142857142857146,47.132965995325215,270.65,37,24,17,3.0,0.0,0.0,1,-0.6240768491573463,3.1547410785723833
38614,76,47.18421052631579,40.36325408960178,544.64,73,40,97,22.0,0.0,2.0,1,0.35715485371561645,-0.5227657299776701
42229,0,,,,67,44,43,0.0,0.0,0.0,0,-2.172380898120648,0.8231863568770766
42415,356,71.62359550561797,35.79800772636334,739.33,77,24,77,100.0,0.0,4.0,1,1.6055610364360842,0.5679483644176565
46696,426,67.79107981220658,35.22674138319241,531.42,67,60,74,127.0,0.0,2.0,1,1.6073535387141278,-0.320267521871361
49363,125,36.84,34.68880083291734,137.07,87,28,89,40.0,0.0,5.0,1,-0.18994545713343533,-0.39116774399885984
50836,163,40.59509202453988,47.35818831474069,49.65,80,68,94,30.0,0.0,4.0,1,0.13445582402253334,-1.7662731091422512
54952,135,58.74074074074074,45.07969112234482,235.1,57,44,97,31.0,0.0,7.0,1,0.4749117905505712,-0.17210221949158785
62947,481,69.72349272349273,38.86880241413157,452.56,80,52,94,116.0,0.0,7.0,1,1.8362191097399863,-0.9644691242190184
65038,411,61.84184914841849,43.41840455536438,438.9,80,76,80,73.0,0.0,11.0,1,1.6519388673614013,-1.5232502033183093
75997,0,,,,83,52,86,0.0,0.0,0.0,0,-1.9672321971918172,-1.0686800427160486
79642,0,,,,50,32,43,0.0,0.0,0.0,0,-2.2426933372202686,1.8407625740581932
80380,0,,,,40,32,29,0.0,0.0,0.0,0,-2.3038113015718267,2.5267041375731623
82762,0,,,,63,24,69,0.0,0.0,0.0,0,-2.1695499185345173,1.0476429408830297
87634,0,,,,97,76,97,0.0,0.0,0.0,0,-1.8100773710475415,-2.687388238936381
104242,46,45.869565217391305,47.08413684064925,0.0,90,56,89,10.0,0.0,3.0,1,-0.26874413006478926,-1.633946067287825
106042,139,48.42446043165467,43.865898811162,405.81,87,76,97,34.0,0.0,9.0,1,0.8275258971301546,-2.2801038375279843
106132,0,,,,30,44,34,0.0,0.0,0.0,0,-2.246230711848569,2.312637207410463
106735,202,71.0940594059406,37.56196955131039,815.55,37,24,40,36.0,0.0,0.0,1,0.8136670886064579,2.734339428367274
108139,628,68.1592356687898,36.43784063793922,829.61,70,44,97,174.0,0.0,8.0,1,2.835400701255294,-0.20533303889724466
108343,43,82.32558139534883,32.48715565253484,0.0,90,64,100,9.0,0.0,2.0,1,-0.14120710010053503,-2.27676833470045
108886,0,,,,60,44,71,0.0,0.0,0.0,0,-2.0806673158000684,0.37730468210761137
112627,540,75.20555555555555,39.92298205270004,318.18,73,40,94,113.0,0.0,14.0,1,1.9869267980028047,-0.2879506580658869
122299,723,62.32780082987552,42.14365537832775,477.19,43,24,37,204.0,0.0,13.0,1,2.580084517624474,2.9247666868459987
122416,343,36.160349854227405,39.102212017641236,506.32,50,28,31,89.0,1.0,25.0,1,1.8899915176449142,2.7272967439941813
128878,210,76.8,38.242590050621615,177.65,73,48,94,63.0,0.0,5.0,1,0.7153767805637897,-0.7994318382878371
128932,83,89.80722891566265,29.442154046712904,0.0,37,44,49,10.0,0.0,5.0,1,-0.280447007661639,1.5254672093794805
143197,188,55.388297872340424,38.36795219158873,105.92,73,52,94,55.0,0.0,9.0,1,0.4640297412175715,-0.9043628980070503
143323,0,,,,73,60,74,0.0,0.0,0.0,0,-1.9871708524400018,-0.7214275224698058
149800,0,,,,83,48,97,0.0,0.0,0.0,0,-1.9451246589286881,-1.19331671766262
162052,164,63.542682926829265,41.477520056753114,461.06,77,60,100,35.0,0.0,3.0,1,0.7892474181379101,-1.4748394598194088
163096,0,,,,87,40,100,0.0,0.0,0.0,0,-1.9639916419321795,-1.1143052399708349
169813,0,,,,83,44,77,0.0,0.0,0.0,0,-2.0333182021038336,-0.5585019681084439
174793,0,,,,60,56,83,0.0,0.0,0.0,0,-1.9868754575338956,-0.3512147802311787
175582,0,,,,67,16,34,0.0,0.0,0.0,0,-2.323624678784926,2.0575948744144408
183190,0,,,,63,48,66,0.0,0.0,0.0,0,-2.0780348858355078,0.2520617085125519
189454,0,,,,53,36,83,0.0,0.0,0.0,0,-2.0799464342001475,0.6130901132846294
195388,0,,,,67,52,94,0.0,0.0,0.0,0,-1.9568547183567757,-0.715925905763799
200920,318,50.4937106918239,43.103188030167644,728.9,30,28,40,81.0,1.0,11.0,1,1.873187629193533,3.1227623729079688
201286,731,47.103967168262656,39.73404906969453,646.66,73,60,89,182.0,0.0,58.0,2,4.358880072879733,-0.4026817044570096
203770,133,61.285714285714285,35.72889744386345,730.77,87,48,97,34.0,0.0,8.0,1,1.07140873770553,-1.2218593570302132
209884,0,,,,70,48,66,0.0,0.0,0.0,0,-2.0701216849215167,0.01198725792650325
212767,291,72.45704467353951,36.51897065146859,681.6,43,36,63,83.0,0.0,0.0,1,1.1814620508266243,1.57105734091818
216079,0,,,,63,36,83,0.0,0.0,0.0,0,-2.068641861465875,0.270126612447417
216784,0,,,,40,24,23,0.0,0.0,0.0,0,-2.359223008280139,2.9633869130355333
221236,387,74.66149870801034,36.991199637181204,393.86,80,40,89,71.0,0.0,6.0,1,1.2632641666908522,-0.5099870681700398
223594,167,69.79640718562874,42.96391578177066,56.24,60,44,71,46.0,2.0,4.0,1,1.1894255349494427,0.573623271134267
224032,0,,,,83,40,66,0.0,0.0,0.0,0,-2.0894888506678675,-0.14417311598996882
225274,0,,,,47,24,37,0.0,0.0,0.0,0,-2.3014964157488627,2.380334399771728
232372,415,89.85301204819277,27.18810986810847,89.82,53,28,54,160.0,1.0,8.0,1,1.715383699129945,1.8549912286416317
243283,158,63.62658227848101,38.168998020655856,689.02,90,64,100,34.0,0.0,7.0,1,1.177079027139232,-1.993039587427607
246112,1549,62.16010329244674,45.199259489368416,464.72,63,64,74,404.0,3.0,66.0,2,8.559958864718244,0.9797011926427172
247933,0,,,,73,44,71,0.0,0.0,0.0,0,-2.065971371245514,-0.0685478689807645
250399,567,79.8447971781305,36.66374621457902,613.8,60,36,80,161.0,0.0,15.0,1,2.637759540859269,0.7696044899640687
255091,1433,73.28262386601536,39.087876727663264,883.97,70,52,91,272.0,2.0,58.0,2,7.446885889665607,0.48669987101774187
260608,0,,,,80,44,80,0.0,0.0,0.0,0,-2.026035275720411,-0.5291082170025139
260818,157,48.4203821656051,37.82620977585329,536.28,80,52,74,35.0,2.0,4.0,1,1.4820127979669353,-0.3229199723963427
269746,290,56.80689655172414,38.68366903295051,533.05,97,36,100,82.0,0.0,13.0,1,1.4815447223069358,-1.1230718625146798
270670,0,,,,63,44,54,0.0,0.0,0.0,0,-2.1377636338007764,0.6908889936794385
272512,0,,,,67,40,66,0.0,0.0,0.0,0,-2.1075761670427036,0.40456848534957063
272527,281,70.72953736654804,35.36086642643336,338.0,77,64,63,65.0,0.0,0.0,1,0.7211154353564594,-0.706065273043598
278962,129,71.9922480620155,28.986930277937066,164.46,73,56,97,31.0,1.0,4.0,1,0.624723123137113,-1.0740319993483771
283450,0,,,,63,56,97,0.0,0.0,0.0,0,-1.9336706940963286,-0.7970818931600995
286321,338,75.9171597633136,30.149758770625716,684.99,57,48,66,96.0,0.0,7.0,1,1.5564296679736682,0.6411803490816178
286903,396,35.724747474747474,40.819051070741665,253.28,80,48,71,121.0,0.0,6.0,1,1.012818076927018,-0.24472852151359983
288079,71,60.436619718309856,41.57118933463628,573.69,90,44,97,17.0,0.0,4.0,1,0.6281159400510103,-1.2733960189255469
296062,0,,,,90,44,40,0.0,0.0,0.0,0,-2.1570546790355265,0.10786560409672229
304753,0,,,,80,44,77,0.0,0.0,0.0,0,-2.0367095739241154,-0.45561291785728025
307570,410,54.72682926829268,40.31500066266201,320.02,67,56,63,110.0,0.0,1.0,1,1.0751240053307116,0.04492607121452759
311086,635,82.0267716535433,33.65557933416745,228.03,67,44,37,131.0,0.0,9.0,1,1.7064068501774845,1.156578120106317
311152,619,75.04846526655896,34.15684710203013,443.19,70,40,23,140.0,0.0,12.0,1,1.9922096818053103,1.6283008074812524
312031,6,14.0,0.0,0.0,80,68,97,1.0,0.0,0.0,0,-1.6983742190205937,-1.8455994473086568
313378,486,46.58024691358025,43.20734880149871,279.4,37,36,34,115.0,0.0,10.0,1,1.2178355630212854,2.5866754757607153
313897,696,85.99281609195403,32.6081369568889,485.09,73,64,89,137.0,0.0,16.0,1,2.7096417889500812,-0.9387790913152827
314389,63,96.92063492063492,17.14294888181632,315.26,87,68,97,12.0,0.0,0.0,1,0.11046277144183866,-2.196816344112982
316786,136,70.63970588235294,42.626834322493366,0.0,77,60,91,26.0,0.0,1.0,1,0.08190477622747645,-1.4068013127693808
