user_sn,review_count,avg_finish_rate,finish_rate_std,pause_count,learning_duration,video_end_duration,avg_video_length,chinese_score,math_score,english_score,cluster
2697,0,,,0,,,,80,52,86,1
4381,0,,,0,,,,70,52,57,1
4561,14,71.85714285714286,4.258153136263201,0,0.0,65.59,225.404,77,56,100,2
6802,0,,,0,,,,93,60,49,1
6828,0,,,0,,,,83,52,89,1
8634,350,64.32571428571428,35.97176816323038,0,380.3,695.32,388.1298571428572,37,24,63,5
11303,239,71.40167364016736,40.667303537597526,0,609.75,873.11,415.73156485355645,47,20,66,5
11312,665,73.20601503759399,35.09369506968953,0,97.07,644.2,289.37297593984965,97,72,97,3
13328,349,74.65042979942693,32.24784375022428,0,545.32,873.11,419.50187965616044,70,44,94,0
14314,0,,,0,,,,77,64,97,1
14503,67,51.0,41.30705420715363,0,63.5,351.96000000000004,390.2856567164179,53,20,89,1
15995,156,77.46153846153847,34.57453558858388,0,502.06,544.13,345.11060897435897,80,60,94,1
17422,32,100.0,0.0,0,0.0,320.17999999999995,302.7715625,87,60,97,2
20034,407,74.51105651105651,33.96121013315961,0,853.74,953.49,455.2698353808354,70,60,83,0
23061,0,,,0,,,,37,36,49,5
23250,640,75.2890625,35.99325105051561,0,528.32,953.49,516.8245390625,87,36,97,0
23415,0,,,0,,,,23,24,29,5
30835,0,,,0,,,,73,68,97,1
32737,181,59.07734806629834,44.83493907453278,0,0.0,538.59,413.4011712707182,80,88,100,3
38371,14,39.142857142857146,47.132965995325215,0,270.65,269.88,270.26635714285715,37,24,17,5
38614,76,47.18421052631579,40.36325408960178,0,544.64,890.25,449.7001315789474,73,40,97,1
42229,0,,,0,,,,67,44,43,1
42415,356,71.62359550561797,35.79800772636334,0,739.33,863.34,503.00053089887643,77,24,77,0
46696,426,67.79107981220658,35.22674138319241,0,531.42,695.32,449.12842253521126,67,60,74,0
49363,125,36.84,34.68880083291734,0,137.07,250.72,348.113952,87,28,89,3
50836,163,40.59509202453988,47.35818831474069,0,49.65,313.19,238.38710429447852,80,68,94,3
54952,135,58.74074074074074,45.07969112234482,0,235.1,895.27,424.53461481481486,57,44,97,1
62947,481,69.72349272349273,38.86880241413157,0,452.56,873.11,420.65870893970896,80,52,94,0
65038,411,61.84184914841849,43.41840455536438,0,438.9,900.0,364.3463527980535,80,76,80,0
75997,0,,,0,,,,83,52,86,1
79642,0,,,0,,,,50,32,43,5
80380,0,,,0,,,,40,32,29,5
82762,0,,,0,,,,63,24,69,5
87634,0,,,0,,,,97,76,97,1
104242,46,45.869565217391305,47.08413684064925,0,0.0,128.89,310.49602173913047,90,56,89,3
106042,139,48.42446043165467,43.865898811162,0,405.81,477.2,385.46106474820147,87,76,97,1
106132,0,,,0,,,,30,44,34,5
106735,202,71.0940594059406,37.56196955131039,0,815.55,873.11,467.93770297029704,37,24,40,5
108139,628,68.1592356687898,36.43784063793922,0,829.61,953.21,464.75932006369425,70,44,97,0
108343,43,82.32558139534883,32.48715565253484,0,0.0,302.53,361.15181395348833,90,64,100,3
108886,0,,,0,,,,60,44,71,1
112627,540,75.20555555555555,39.92298205270004,0,318.18,900.0,384.4901074074074,73,40,94,0
122299,723,62.32780082987552,42.14365537832775,0,477.19,953.49,469.4004439834025,43,24,37,5
